scenario,ms,linear_g,face_x,face_y,gaze_x,gaze_y,left_h,right_h,fatigue
2,4460,0.7636,234.3405,228.4835,-0.8429,-0.0862,54.8035,65.7807,0.9008
2,4480,0.4155,227.7294,228.1794,-0.9524,-0.2041,38.4695,49.1086,0.9040
2,4500,0.0006,221.9118,228.1463,-1.0000,-0.3028,26.9133,36.5196,0.9035
2,4520,0.3948,217.5733,228.3581,-0.9788,-0.3819,19.4110,27.9203,0.9063
2,4540,0.7429,215.1696,228.7996,-0.8711,-0.4450,11.9949,18.2320,0.9141
2,4560,0.9852,214.9308,229.4581,-0.6802,-0.4928,7.1388,11.4042,0.9252
2,4580,1.0877,216.8187,230.3053,-0.4180,-0.5242,6.0000,7.9069,0.9377
2,4600,1.0361,220.5179,231.2964,-0.1313,-0.5374,6.0000,7.4853,0.9496
2,4620,0.8375,225.4785,232.3739,0.1558,-0.5310,6.0000,10.3092,0.9586
2,4640,0.5198,230.9918,233.4544,0.4305,-0.5042,10.0552,17.2251,0.9632
2,4660,0.1278,236.2677,234.4464,0.6617,-0.4595,16.6175,27.7507,0.9627
2,4680,0.2858,240.5616,235.3078,0.8225,-0.4006,25.1699,40.3985,0.9641
2,4700,0.6443,243.3345,236.0346,0.8991,-0.3279,38.4906,58.6454,0.9704
2,4720,0.9265,244.2940,236.6129,0.8857,-0.2402,51.4406,73.5725,0.9807
2,4740,1.0782,243.4019,237.0121,0.7853,-0.1381,63.8980,85.0403,0.9932
2,4760,1.0782,240.8829,237.2032,0.6236,-0.0244,73.6022,90.6912,1.0000
2,4780,0.9265,237.1917,237.1669,0.4347,0.0952,73.1730,83.4152,1.0000
2,4800,0.6443,232.9374,236.8949,0.2188,0.2102,68.3970,72.3998,1.0000
2,4820,0.2713,228.7941,236.4203,0.0013,0.3109,72.1872,71.6129,1.0000
2,4840,0.1567,225.4545,235.7909,-0.1830,0.3915,79.4224,74.7871,0.9995
2,4860,0.5406,223.5048,235.0297,-0.3108,0.4513,89.8801,81.3934,1.0000
2,4880,0.8582,223.2981,234.1469,-0.3720,0.4888,91.1469,80.4886,1.0000
2,4900,1.0568,224.8972,233.1758,-0.3659,0.5009,95.3493,83.4312,1.0000
2,4920,1.1085,228.0841,232.1704,-0.3077,0.4853,101.0273,89.1538,1.0000
2,4940,1.0060,232.3972,231.1927,-0.2387,0.4413,105.6045,95.7017,1.0000
2,4960,0.7637,237.2005,230.3104,-0.1573,0.3710,106.2122,100.5323,1.0000
2,4980,0.4156,241.7905,229.5953,-0.0696,0.2803,100.9752,101.1621,1.0000
2,5000,0.0005,245.4887,229.0959,0.0019,0.1787,93.0254,99.3837,0.9995
2,5020,0.3948,247.6990,228.8141,0.0339,0.0715,92.1210,105.4042,1.0000
2,5040,0.7428,247.9892,228.7506,0.0133,-0.0397,83.1559,102.2556,1.0000
2,5060,0.9851,246.2040,228.9178,-0.0596,-0.1509,72.0286,95.3058,1.0000
2,5080,1.0877,242.5022,229.3195,-0.1732,-0.2562,61.8705,87.8475,1.0000
2,5100,1.0360,237.3239,229.9415,-0.2836,-0.3487,54.6287,82.6297,1.0000
2,5120,0.8374,231.3289,230.7518,-0.3719,-0.4224,51.5737,82.1256,1.0000
2,5140,0.5198,225.3146,231.6866,-0.4376,-0.4713,56.1363,92.5781,1.0000
2,5160,0.1277,220.0818,232.6566,-0.4659,-0.4929,63.8919,107.0961,0.9995
2,5180,0.2859,216.3178,233.6060,-0.4377,-0.4889,68.4282,114.5127,1.0000
2,5200,0.6443,214.5249,234.5174,-0.3393,-0.4608,77.3757,127.1153,1.0000
2,5220,0.9265,214.9834,235.3670,-0.1691,-0.4085,81.1245,128.6857,1.0000
2,5240,1.0783,217.6891,236.1095,0.0602,-0.3330,84.1857,126.9635,1.0000
2,5260,1.0783,222.3325,236.6953,0.3112,-0.2374,84.8987,120.1580,1.0000
2,5280,0.9265,228.3418,237.0817,0.5393,-0.1264,82.1491,108.0770,1.0000
2,5300,0.6444,234.9462,237.2371,0.7381,-0.0075,77.2119,94.0033,1.0000
2,5320,0.2713,241.2765,237.1601,0.8850,0.1093,75.5684,85.3031,1.0000
2,5340,0.1567,246.5047,236.8741,0.9551,0.2159,77.5195,81.6808,0.9995
2,5360,0.5406,250.0161,236.3970,0.9319,0.3100,84.1474,83.4184,1.0000
2,5380,0.8582,251.4286,235.7335,0.8078,0.3897,81.1061,76.3221,1.0000
2,5400,1.0568,250.5991,234.9025,0.5887,0.4503,81.0730,73.2851,1.0000
